        1000	NonSimdM     120.85	SimdM     988.26	(  8.18)	NonSimdMS     121.88	SimdMS     973.92	(  7.99)
        5000	NonSimdM     121.59	SimdM     996.97	(  8.20)	NonSimdMS     123.10	SimdMS     975.60	(  7.93)
       10000	NonSimdM     120.76	SimdM     997.21	(  8.26)	NonSimdMS     123.19	SimdMS    1004.20	(  8.15)
       50000	NonSimdM     121.08	SimdM     817.55	(  6.75)	NonSimdMS     123.21	SimdMS     997.55	(  8.10)
      100000	NonSimdM     120.71	SimdM     812.50	(  6.73)	NonSimdMS     123.19	SimdMS     998.92	(  8.11)
      500000	NonSimdM     118.89	SimdM     862.98	(  7.26)	NonSimdMS     131.86	SimdMS    1073.17	(  8.14)
     1000000	NonSimdM     220.93	SimdM    1194.07	(  5.40)	NonSimdMS     228.19	SimdMS     970.25	(  4.25)
     2000000	NonSimdM     221.55	SimdM     562.20	(  2.54)	NonSimdMS     218.51	SimdMS    1059.81	(  4.85)
     5000000	NonSimdM     221.32	SimdM     626.94	(  2.83)	NonSimdMS     227.27	SimdMS    1334.54	(  5.87)
     8000000	NonSimdM     220.61	SimdM     870.39	(  3.95)	NonSimdMS     227.06	SimdMS    1358.39	(  5.98)
