1024	   8	     9.865 MegaMultsPerSecond
1024	  16	    11.663 MegaMultsPerSecond
1024	  32	     8.998 MegaMultsPerSecond
1024	  64	    11.934 MegaMultsPerSecond
1024	 128	    11.663 MegaMultsPerSecond
1024	 256	    12.057 MegaMultsPerSecond
1024	 512	     9.603 MegaMultsPerSecond
4096	   8	    31.193 MegaMultsPerSecond
4096	  16	    47.183 MegaMultsPerSecond
4096	  32	    45.263 MegaMultsPerSecond
4096	  64	    37.345 MegaMultsPerSecond
4096	 128	    48.864 MegaMultsPerSecond
4096	 256	    48.245 MegaMultsPerSecond
4096	 512	    57.551 MegaMultsPerSecond
6144	   8	    68.653 MegaMultsPerSecond
6144	  16	    85.780 MegaMultsPerSecond
6144	  32	    69.462 MegaMultsPerSecond
6144	  64	    94.594 MegaMultsPerSecond
6144	 128	    64.501 MegaMultsPerSecond
6144	 256	    58.948 MegaMultsPerSecond
6144	 512	    76.331 MegaMultsPerSecond
8192	   8	    96.149 MegaMultsPerSecond
8192	  16	    91.299 MegaMultsPerSecond
8192	  32	    89.962 MegaMultsPerSecond
8192	  64	   106.968 MegaMultsPerSecond
8192	 128	    98.060 MegaMultsPerSecond
8192	 256	    92.480 MegaMultsPerSecond
8192	 512	    69.903 MegaMultsPerSecond
10240	   8	   104.641 MegaMultsPerSecond
10240	  16	   123.258 MegaMultsPerSecond
10240	  32	   127.243 MegaMultsPerSecond
10240	  64	   119.668 MegaMultsPerSecond
10240	 128	    85.665 MegaMultsPerSecond
10240	 256	   118.349 MegaMultsPerSecond
10240	 512	    83.550 MegaMultsPerSecond
40960	   8	   362.237 MegaMultsPerSecond
40960	  16	   439.155 MegaMultsPerSecond
40960	  32	   401.250 MegaMultsPerSecond
40960	  64	   351.917 MegaMultsPerSecond
40960	 128	   483.858 MegaMultsPerSecond
40960	 256	   430.144 MegaMultsPerSecond
40960	 512	   343.737 MegaMultsPerSecond
61440	   8	   558.439 MegaMultsPerSecond
61440	  16	   761.706 MegaMultsPerSecond
61440	  32	   525.577 MegaMultsPerSecond
61440	  64	   770.185 MegaMultsPerSecond
61440	 128	   509.897 MegaMultsPerSecond
61440	 256	   701.362 MegaMultsPerSecond
61440	 512	   785.417 MegaMultsPerSecond
81920	   8	   165.431 MegaMultsPerSecond
81920	  16	   205.451 MegaMultsPerSecond
81920	  32	   167.919 MegaMultsPerSecond
81920	  64	   156.146 MegaMultsPerSecond
81920	 128	     6.757 MegaMultsPerSecond
81920	 256	   180.516 MegaMultsPerSecond
81920	 512	   284.226 MegaMultsPerSecond
102400	   8	   868.901 MegaMultsPerSecond
102400	  16	  1001.693 MegaMultsPerSecond
102400	  32	  1067.078 MegaMultsPerSecond
102400	  64	  1169.604 MegaMultsPerSecond
102400	 128	   897.372 MegaMultsPerSecond
102400	 256	   833.584 MegaMultsPerSecond
102400	 512	  1066.622 MegaMultsPerSecond
409600	   8	   619.135 MegaMultsPerSecond
409600	  16	   922.570 MegaMultsPerSecond
409600	  32	   927.127 MegaMultsPerSecond
409600	  64	   879.918 MegaMultsPerSecond
409600	 128	  1164.099 MegaMultsPerSecond
409600	 256	   878.034 MegaMultsPerSecond
409600	 512	  1038.916 MegaMultsPerSecond
614400	   8	   971.758 MegaMultsPerSecond
614400	  16	  1236.466 MegaMultsPerSecond
614400	  32	  1401.658 MegaMultsPerSecond
614400	  64	  1468.248 MegaMultsPerSecond
614400	 128	  1583.268 MegaMultsPerSecond
614400	 256	  1383.746 MegaMultsPerSecond
614400	 512	  1494.625 MegaMultsPerSecond
819200	   8	  1161.347 MegaMultsPerSecond
819200	  16	  1586.343 MegaMultsPerSecond
819200	  32	  1835.014 MegaMultsPerSecond
819200	  64	  1852.572 MegaMultsPerSecond
819200	 128	  2015.009 MegaMultsPerSecond
819200	 256	  2083.254 MegaMultsPerSecond
819200	 512	  2398.716 MegaMultsPerSecond
1024000	   8	  1262.988 MegaMultsPerSecond
1024000	  16	  1818.427 MegaMultsPerSecond
1024000	  32	  2041.817 MegaMultsPerSecond
1024000	  64	  2317.177 MegaMultsPerSecond
1024000	 128	  2338.829 MegaMultsPerSecond
1024000	 256	  2192.424 MegaMultsPerSecond
1024000	 512	  2430.641 MegaMultsPerSecond
4096000	   8	  2247.397 MegaMultsPerSecond
4096000	  16	  3562.972 MegaMultsPerSecond
4096000	  32	  5072.075 MegaMultsPerSecond
4096000	  64	  5895.035 MegaMultsPerSecond
4096000	 128	  6271.637 MegaMultsPerSecond
4096000	 256	  5790.545 MegaMultsPerSecond
4096000	 512	  6006.587 MegaMultsPerSecond
6144000	   8	  2306.406 MegaMultsPerSecond
6144000	  16	  3853.693 MegaMultsPerSecond
6144000	  32	  5639.968 MegaMultsPerSecond
6144000	  64	  8072.049 MegaMultsPerSecond
6144000	 128	  7269.234 MegaMultsPerSecond
6144000	 256	  6832.497 MegaMultsPerSecond
6144000	 512	  7228.711 MegaMultsPerSecond
8192000	   8	  2503.516 MegaMultsPerSecond
8192000	  16	  4195.013 MegaMultsPerSecond
8192000	  32	  6724.803 MegaMultsPerSecond
8192000	  64	  7750.889 MegaMultsPerSecond
8192000	 128	  9168.429 MegaMultsPerSecond
8192000	 256	  8713.957 MegaMultsPerSecond
8192000	 512	  9329.467 MegaMultsPerSecond
